layer,object,n_sigmas,sigma1,er99,er999
31,QK_stacked_key,256,4.450136661529541,246,255
31,QK_stacked_query,4096,3.194369316101074,3181,3859
31,Q_stacked,4096,3.516091823577881,3161,3848
31,VO_stacked_read,256,3.7429709434509277,246,254
31,VO_stacked_write,4096,2.777564525604248,3202,3834
31,V_stacked,256,1.042900562286377,248,255
31,gate_proj_full,4096,10.152399063110352,3300,3886
31,k_proj_full,256,1.4177378416061401,245,253
31,o_proj_full,4096,2.651188373565674,3266,3871
31,q_proj_full,4096,5.898294925689697,3193,3862
31,v_proj_full,256,0.9460770487785339,248,255
32,G_stacked,4096,3.3942432403564453,3370,3922
32,K_stacked,256,1.1451168060302734,231,250
32,O_stacked,4096,2.519641637802124,3052,3752
32,QK_stacked_key,256,4.514333724975586,230,249
32,QK_stacked_query,4096,2.799812078475952,2997,3652
32,Q_stacked,4096,3.055039882659912,3233,3860
32,VO_stacked_read,256,3.499851942062378,248,255
32,VO_stacked_write,4096,2.5400471687316895,3207,3845
32,V_stacked,256,1.031872034072876,248,254
32,gate_proj_full,4096,9.553862571716309,3345,3915
32,k_proj_full,256,2.0660862922668457,230,249
32,o_proj_full,4096,3.7935056686401367,3275,3883
32,q_proj_full,4096,6.14585542678833,3249,3866
32,v_proj_full,256,0.9906131625175476,248,254
33,G_stacked,4096,2.906721591949463,3335,3908
33,K_stacked,256,1.124414086341858,220,244
33,O_stacked,4096,2.2934932708740234,3077,3776
33,QK_stacked_key,256,4.341141700744629,209,239
33,QK_stacked_query,4096,2.9600603580474854,2733,3485
33,Q_stacked,4096,2.7704687118530273,3138,3839
33,VO_stacked_read,256,3.83012056350708,247,254
33,VO_stacked_write,4096,2.206325054168701,3196,3843
33,V_stacked,256,1.0065549612045288,247,254
33,gate_proj_full,4096,9.403814315795898,3322,3903
33,k_proj_full,256,1.9608910083770752,220,244
33,o_proj_full,4096,2.7521636486053467,3248,3872
33,q_proj_full,4096,5.967132091522217,3142,3840
33,v_proj_full,256,1.0073078870773315,248,254
34,G_stacked,4096,2.627286434173584,3409,3945
34,K_stacked,256,1.1404725313186646,225,249
34,O_stacked,4096,2.620008707046509,3287,3822
34,QK_stacked_key,256,4.381002902984619,219,247
34,QK_stacked_query,4096,2.7874040603637695,2906,3622
34,Q_stacked,4096,2.7196238040924072,3219,3873
34,VO_stacked_read,256,3.7754416465759277,248,255
34,VO_stacked_write,4096,2.2852554321289062,3385,3915
34,V_stacked,256,1.0165157318115234,250,255
34,gate_proj_full,4096,8.976484298706055,3412,3945
34,k_proj_full,256,1.978783130645752,226,249
34,o_proj_full,4096,2.330559015274048,3420,3931
34,q_proj_full,4096,6.293909549713135,3227,3873
34,v_proj_full,256,0.9500658512115479,249,255
35,G_stacked,4096,3.410395860671997,3247,3877
35,K_stacked,256,1.1465775966644287,239,251
35,O_stacked,4096,3.2254397869110107,3112,3793
35,QK_stacked_key,256,4.268930435180664,241,253
35,QK_stacked_query,4096,2.831921100616455,3226,3866
35,Q_stacked,4096,3.0227856636047363,3220,3873
35,VO_stacked_read,256,3.6050193309783936,245,254
35,VO_stacked_write,4096,3.096085548400879,3205,3831
35,V_stacked,256,1.0070066452026367,247,254
35,gate_proj_full,4096,11.417082786560059,3319,3905
35,k_proj_full,256,1.5790036916732788,240,252
