layer,matrix,shape,rms,ratio_to_target,head_rms_min,head_rms_max,head_max_over_min,row_norm_cv
3,self_attn.q_proj,"(4096, 4096)",0.024721907451748848,3.1644041538238525,0.021861424669623375,0.0280467439442873,1.282933036988137,0.16935788094997406
3,self_attn.k_proj,"(1024, 4096)",0.025768227875232697,3.298333168029785,0.024102671071887016,0.027018794789910316,1.1209875747516058,0.2092542201280594
3,self_attn.v_proj,"(1024, 4096)",0.02798856981098652,3.5825369358062744,0.022288963198661804,0.031831540167331696,1.428130141524161,0.1286027431488037
3,self_attn.o_proj,"(4096, 4096)",0.025932565331459045,3.319368362426758,0.02074689045548439,0.030024109408259392,1.447161899884741,0.09546346217393875
3,mlp.gate_proj,"(12288, 4096)",0.02384215220808983,3.051795482635498,nan,nan,nan,0.7392866611480713
3,mlp.up_proj,"(12288, 4096)",0.017532767727971077,2.244194269180298,nan,nan,nan,0.7968699336051941
3,mlp.down_proj,"(4096, 12288)",0.019120527431368828,2.44742751121521,nan,nan,nan,0.072635717689991
4,self_attn.q_proj,"(4096, 4096)",0.025506284087896347,3.2648043632507324,0.022563058882951736,0.028411198407411575,1.2591908993721854,0.1625966578722
4,self_attn.k_proj,"(1024, 4096)",0.02668110653758049,3.4151816368103027,0.025627369061112404,0.02836047299206257,1.1066478546600964,0.18439644575119019
4,self_attn.v_proj,"(1024, 4096)",0.028200998902320862,3.6097278594970703,0.024511687457561493,0.03054898977279663,1.2463030065020153,0.08132515847682953
4,self_attn.o_proj,"(4096, 4096)",0.026485053822398186,3.3900868892669678,0.021791651844978333,0.028593914583325386,1.3121499364406635,0.09453187882900238
4,mlp.gate_proj,"(12288, 4096)",0.032323334366083145,4.137386798858643,nan,nan,nan,0.29343968629837036
4,mlp.up_proj,"(12288, 4096)",0.02170095033943653,2.777721643447876,nan,nan,nan,0.30088526010513306
4,mlp.down_proj,"(4096, 12288)",0.022955460473895073,2.9382989406585693,nan,nan,nan,0.08036386966705322
5,self_attn.q_proj,"(4096, 4096)",0.025485631078481674,3.2621607780456543,0.018730660900473595,0.029946159571409225,1.598777519412145,0.20476089417934418
5,self_attn.k_proj,"(1024, 4096)",0.026078155264258385,3.3380038738250732,0.017340583726763725,0.030736589804291725,1.7725233641848168,0.2319207340478897
5,self_attn.v_proj,"(1024, 4096)",0.0276840440928936,3.543557643890381,0.02218770608305931,0.03045525960624218,1.3726186696467593,0.12378166615962982
5,self_attn.o_proj,"(4096, 4096)",0.025642909109592438,3.282292366027832,0.019355129450559616,0.02890295721590519,1.4932970244262311,0.1043381467461586
5,mlp.gate_proj,"(12288, 4096)",0.0333126038312912,4.264013290405273,nan,nan,nan,0.1909410059452057
5,mlp.up_proj,"(12288, 4096)",0.02442963980138302,3.1269938945770264,nan,nan,nan,0.05116899311542511
5,mlp.down_proj,"(4096, 12288)",0.024614736437797546,3.150686264038086,nan,nan,nan,0.08148622512817383
6,self_attn.q_proj,"(4096, 4096)",0.02615899220108986,3.348351001739502,0.02411551959812641,0.028315497562289238,1.1741607908165965,0.17001384496688843
6,self_attn.k_proj,"(1024, 4096)",0.026296470314264297,3.36594820022583,0.025525247678160667,0.027669422328472137,1.0840021094935748,0.13337442278862
6,self_attn.v_proj,"(1024, 4096)",0.028151322156190872,3.6033692359924316,0.024729706346988678,0.031429264694452286,1.2709113587302832,0.08142922818660736
