layer,object,n_sigmas,sigma1,er99,er999
15,o_proj_full,4096,5.972880840301514,2848,3494
15,Q_stacked,4096,2.754420518875122,2423,3209
15,K_stacked,1024,1.6879292726516724,869,982
15,V_stacked,1024,1.777774691581726,931,1010
15,O_stacked,4096,2.389324188232422,2823,3478
15,VO_stacked_write,4096,2.207106590270996,2762,3438
15,VO_stacked_read,1024,3.0280866622924805,909,1004
16,q_proj_full,4096,6.215993404388428,2479,3251
16,k_proj_full,1024,3.8843894004821777,870,993
16,v_proj_full,1024,2.0346877574920654,926,1010
16,o_proj_full,4096,7.482094764709473,2874,3510
16,Q_stacked,4096,2.7365660667419434,2465,3239
16,K_stacked,1024,1.8194148540496826,867,991
16,V_stacked,1024,1.7695739269256592,926,1010
16,O_stacked,4096,2.6298108100891113,2840,3485
16,VO_stacked_write,4096,2.2965540885925293,2797,3461
16,VO_stacked_read,1024,3.2523910999298096,920,1008
17,q_proj_full,4096,6.698325157165527,2478,3255
17,k_proj_full,1024,2.5136148929595947,889,998
17,v_proj_full,1024,1.9831734895706177,946,1012
17,o_proj_full,4096,7.609503269195557,2908,3526
17,Q_stacked,4096,2.707434892654419,2473,3247
17,K_stacked,1024,1.6276273727416992,880,994
17,V_stacked,1024,1.697873592376709,938,1011
17,O_stacked,4096,2.741734266281128,2868,3502
17,VO_stacked_write,4096,2.3837945461273193,2774,3437
17,VO_stacked_read,1024,2.72383713722229,908,1003
18,q_proj_full,4096,7.327938556671143,2454,3231
18,k_proj_full,1024,3.648094654083252,862,986
18,v_proj_full,1024,2.380182981491089,935,1009
18,o_proj_full,4096,7.027464389801025,2837,3490
18,Q_stacked,4096,3.0280489921569824,2438,3217
18,K_stacked,1024,1.880910873413086,848,975
18,V_stacked,1024,1.718361735343933,917,1004
18,O_stacked,4096,2.717144250869751,2826,3483
18,VO_stacked_write,4096,2.4277710914611816,2724,3419
18,VO_stacked_read,1024,3.3426871299743652,895,999
19,q_proj_full,4096,8.121343612670898,2545,3307
19,k_proj_full,1024,3.490490198135376,882,990
19,v_proj_full,1024,2.3103134632110596,949,1013
19,o_proj_full,4096,6.366244792938232,2863,3502
19,Q_stacked,4096,2.672708749771118,2535,3294
19,K_stacked,1024,1.6909607648849487,887,997
19,V_stacked,1024,1.75645911693573,959,1015
19,O_stacked,4096,2.376384735107422,2840,3482
19,VO_stacked_write,4096,2.0418224334716797,2800,3460
19,VO_stacked_read,1024,2.6644110679626465,945,1012
20,q_proj_full,4096,8.207534790039062,2492,3272
20,k_proj_full,1024,2.8389065265655518,879,995
20,v_proj_full,1024,2.117701530456543,951,1014
20,o_proj_full,4096,6.783818244934082,2892,3521
20,Q_stacked,4096,2.73290753364563,2484,3266
20,K_stacked,1024,1.5819237232208252,881,995
20,V_stacked,1024,1.7308934926986694,950,1015
20,O_stacked,4096,2.6410934925079346,2882,3514
20,VO_stacked_write,4096,2.3920135498046875,2841,3492
20,VO_stacked_read,1024,2.8430302143096924,941,1012
21,q_proj_full,4096,8.722723007202148,2602,3340
21,k_proj_full,1024,3.301745653152466,903,998
21,v_proj_full,1024,2.2726285457611084,949,1010
21,o_proj_full,4096,5.977139472961426,2893,3520
21,Q_stacked,4096,2.7782607078552246,2584,3324
21,K_stacked,1024,1.774430513381958,905,999
21,V_stacked,1024,1.6942821741104126,950,1010
21,O_stacked,4096,2.302476644515991,2883,3514
21,VO_stacked_write,4096,2.131448745727539,2845,3489
21,VO_stacked_read,1024,2.61274790763855,940,1009
22,q_proj_full,4096,11.423344612121582,2654,3378
22,k_proj_full,1024,4.555108070373535,891,995
22,v_proj_full,1024,2.567209482192993,978,1018
22,o_proj_full,4096,6.071353435516357,2796,3471
22,Q_stacked,4096,2.7877163887023926,2634,3363
22,K_stacked,1024,1.6146342754364014,888,994
22,V_stacked,1024,1.372314691543579,976,1018
22,O_stacked,4096,2.0692670345306396,2771,3456
22,VO_stacked_write,4096,1.9027972221374512,2734,3435
22,VO_stacked_read,1024,1.9942381381988525,966,1015
23,q_proj_full,4096,12.495670318603516,2700,3402
23,k_proj_full,1024,4.873824596405029,917,1004
23,v_proj_full,1024,2.1600983142852783,972,1017
23,o_proj_full,4096,5.847335338592529,2920,3531
23,Q_stacked,4096,2.799654960632324,2684,3391
23,K_stacked,1024,1.8222973346710205,918,1005
23,V_stacked,1024,1.2968049049377441,974,1017
23,O_stacked,4096,2.2623462677001953,2893,3514
23,VO_stacked_write,4096,2.0261168479919434,2867,3499
23,VO_stacked_read,1024,2.163118600845337,963,1014
24,q_proj_full,4096,16.073013305664062,2708,3410
24,k_proj_full,1024,6.086458683013916,891,995
24,v_proj_full,1024,2.6810648441314697,958,1013
24,o_proj_full,4096,6.512197971343994,2890,3511
24,Q_stacked,4096,2.9476566314697266,2689,3396
24,K_stacked,1024,1.7981175184249878,894,997
24,V_stacked,1024,1.2226587533950806,956,1014
24,O_stacked,4096,2.580796718597412,2895,3514
24,VO_stacked_write,4096,2.42826771736145,2843,3479
24,VO_stacked_read,1024,2.2337167263031006,940,1010
25,q_proj_full,4096,13.010541915893555,2904,3519
25,k_proj_full,1024,5.7936201095581055,940,1008
25,v_proj_full,1024,2.552062511444092,981,1018
25,o_proj_full,4096,5.01724100112915,3026,3591
25,Q_stacked,4096,2.963176727294922,2887,3509
25,K_stacked,1024,1.7713836431503296,937,1007
25,V_stacked,1024,1.2129369974136353,981,1018
25,O_stacked,4096,1.9296373128890991,3003,3580
25,VO_stacked_write,4096,1.7644344568252563,2967,3561
25,VO_stacked_read,1024,1.9896055459976196,971,1016
26,q_proj_full,4096,17.684009552001953,2863,3501
26,k_proj_full,1024,7.014298915863037,924,1006
26,v_proj_full,1024,3.528761148452759,966,1016
26,o_proj_full,4096,5.335039138793945,3013,3586
26,Q_stacked,4096,3.102820873260498,2856,3497
26,K_stacked,1024,1.7596540451049805,923,1006
26,V_stacked,1024,1.3349199295043945,964,1015
26,O_stacked,4096,2.002004384994507,3009,3584
26,VO_stacked_write,4096,1.729259729385376,2954,3551
26,VO_stacked_read,1024,2.3088061809539795,960,1014
27,q_proj_full,4096,17.276273727416992,2910,3529
27,k_proj_full,1024,6.871060371398926,916,1002
27,v_proj_full,1024,4.104799747467041,974,1016
27,o_proj_full,4096,5.749270439147949,2999,3577
27,Q_stacked,4096,3.035269260406494,2893,3519
27,K_stacked,1024,1.7335354089736938,907,1000
27,V_stacked,1024,1.2946217060089111,970,1016
27,O_stacked,4096,1.9670917987823486,2978,3565
27,VO_stacked_write,4096,1.9612432718276978,2892,3517
27,VO_stacked_read,1024,2.199742078781128,947,1011
28,q_proj_full,4096,18.544286727905273,2889,3514
28,k_proj_full,1024,7.81407356262207,923,1004
28,v_proj_full,1024,3.7864747047424316,965,1014
28,o_proj_full,4096,5.0089545249938965,2998,3578
28,Q_stacked,4096,3.203732490539551,2870,3502
28,K_stacked,1024,1.9379230737686157,925,1004
28,V_stacked,1024,1.293724536895752,960,1013
28,O_stacked,4096,1.8821879625320435,2975,3566
28,VO_stacked_write,4096,1.657222032546997,2934,3540
28,VO_stacked_read,1024,2.111176013946533,950,1011
29,q_proj_full,4096,31.414709091186523,2809,3474
29,k_proj_full,1024,11.614020347595215,880,996
29,v_proj_full,1024,6.8119049072265625,914,1008
29,o_proj_full,4096,5.307119369506836,3003,3577
29,Q_stacked,4096,3.4845292568206787,2758,3441
29,K_stacked,1024,1.920155644416809,873,994
29,V_stacked,1024,1.747408390045166,923,1010
29,O_stacked,4096,2.0126540660858154,2993,3573
29,VO_stacked_write,4096,1.9068677425384521,2927,3537
29,VO_stacked_read,1024,3.0025665760040283,920,1008
30,q_proj_full,4096,36.0675048828125,2935,3542
30,k_proj_full,1024,14.352882385253906,925,1004
30,v_proj_full,1024,6.514854431152344,970,1017
30,o_proj_full,4096,6.406688213348389,3045,3601
30,Q_stacked,4096,3.574857234954834,2881,3507
30,K_stacked,1024,1.9223706722259521,901,998
30,V_stacked,1024,1.3582013845443726,968,1016
30,O_stacked,4096,2.4702816009521484,3027,3593
30,VO_stacked_write,4096,1.8890783786773682,2988,3573
30,VO_stacked_read,1024,2.4308485984802246,971,1016
31,q_proj_full,4096,48.111961364746094,2845,3495
31,k_proj_full,1024,18.414403915405273,883,997
31,v_proj_full,1024,10.717795372009277,946,1013
31,o_proj_full,4096,5.9280171394348145,3027,3590
31,Q_stacked,4096,3.833284378051758,2812,3474
31,K_stacked,1024,1.7882559299468994,857,986
31,V_stacked,1024,1.6094509363174438,938,1012
31,O_stacked,4096,2.2477245330810547,3003,3577
31,VO_stacked_write,4096,1.8132216930389404,2947,3540
31,VO_stacked_read,1024,2.8492190837860107,937,1011
32,q_proj_full,4096,58.12887954711914,2793,3467
32,k_proj_full,1024,23.08570098876953,869,992
32,v_proj_full,1024,15.87484073638916,929,1011
32,o_proj_full,4096,7.051019191741943,3007,3583
32,Q_stacked,4096,3.822396755218506,2750,3436
32,K_stacked,1024,1.7827789783477783,825,974
32,V_stacked,1024,1.8118393421173096,915,1007
32,O_stacked,4096,2.36301851272583,2968,3562
32,VO_stacked_write,4096,1.7754795551300049,2896,3521
32,VO_stacked_read,1024,3.1833691596984863,918,1007
33,q_proj_full,4096,99.39263916015625,2466,3294
33,k_proj_full,1024,34.67160415649414,762,964
33,v_proj_full,1024,30.53640365600586,827,994
33,o_proj_full,4096,8.673381805419922,3015,3581
33,Q_stacked,4096,4.304025173187256,2403,3249
33,K_stacked,1024,2.015718698501587,730,949
33,V_stacked,1024,2.263958692550659,778,981
33,O_stacked,4096,2.5869154930114746,2969,3556
33,VO_stacked_write,4096,2.0986251831054688,2902,3512
33,VO_stacked_read,1024,4.172236442565918,786,983
34,q_proj_full,4096,87.44554138183594,2664,3396
34,k_proj_full,1024,32.44969177246094,845,983
34,v_proj_full,1024,20.399593353271484,945,1012
34,o_proj_full,4096,9.335101127624512,2948,3546
34,Q_stacked,4096,3.678978681564331,2541,3317
34,K_stacked,1024,1.9813616275787354,833,977
34,V_stacked,1024,1.5683951377868652,915,1003
34,O_stacked,4096,3.024864673614502,2877,3502
34,VO_stacked_write,4096,2.50274920463562,2826,3459
34,VO_stacked_read,1024,2.526439666748047,903,1003
35,q_proj_full,4096,73.53739166259766,2982,3568
35,k_proj_full,1024,29.74749183654785,933,1006
35,v_proj_full,1024,21.45854377746582,975,1014
35,o_proj_full,4096,14.474529266357422,2992,3573
35,Q_stacked,4096,4.137145519256592,2904,3521
35,K_stacked,1024,2.108407497406006,930,1005
35,V_stacked,1024,2.234434127807617,959,1013
35,O_stacked,4096,3.6554343700408936,2858,3482
35,VO_stacked_write,4096,2.948488712310791,2814,3445
35,VO_stacked_read,1024,4.198308944702148,945,1006
