layer,head,openness,switchiness,frac_closed,ch_lo_frac,ch_hi_frac,min_ch_mean,n_ch_mean_lt_01
12,11,0.482,0.0403,0.0,0.0212,0.0141,0.1107,0
12,12,0.112,0.0241,0.3156,0.5997,0.0001,0.0179,63
12,13,0.1508,0.0675,0.2469,0.4289,0.0001,0.0257,26
12,14,0.2314,0.057,0.0151,0.3607,0.0015,0.033,34
12,15,0.1912,0.115,0.2325,0.3762,0.0005,0.0159,14
12,16,0.2068,0.0867,0.0319,0.2033,0.0001,0.0303,5
12,17,0.3058,0.1297,0.0013,0.057,0.0041,0.0754,2
12,18,0.2601,0.0929,0.0024,0.0519,0.0,0.1119,0
12,19,0.1862,0.0853,0.0911,0.227,0.0001,0.0165,1
12,20,0.2012,0.0536,0.0054,0.1116,0.0,0.0221,1
12,21,0.1663,0.082,0.2082,0.2904,0.0,0.0457,5
12,22,0.2516,0.0862,0.0049,0.0624,0.0,0.0967,1
12,23,0.1797,0.0392,0.0186,0.2045,0.0001,0.0842,1
12,24,0.2287,0.0765,0.0169,0.0917,0.0,0.0198,2
12,25,0.1846,0.0576,0.0306,0.2247,0.0001,0.0175,2
12,26,0.1011,0.0396,0.6223,0.6343,0.0001,0.0244,72
12,27,0.2144,0.0695,0.0096,0.1091,0.0,0.03,1
12,28,0.2514,0.0947,0.0223,0.0857,0.0,0.052,1
12,29,0.2686,0.1079,0.0296,0.118,0.0003,0.1242,0
12,30,0.524,0.1091,0.0,0.0042,0.0003,0.1562,0
12,31,0.2188,0.0767,0.0102,0.1293,0.0,0.0164,3
13,0,0.2154,0.1158,0.1348,0.1912,0.0001,0.0718,3
13,1,0.2089,0.0843,0.0432,0.2164,0.0002,0.0717,3
13,2,0.1824,0.0831,0.1254,0.2431,0.0,0.0484,4
13,3,0.1617,0.0656,0.1638,0.3085,0.0004,0.0735,1
13,4,0.199,0.1028,0.1162,0.2066,0.0,0.0475,4
