layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
22,VO,13,0,0.48973506689071655,54.819,123,127,,
22,VO,14,0,0.641655683517456,36.556,122,127,,
22,VO,15,0,0.5145219564437866,49.19,123,127,,
22,VO,16,1,0.46169888973236084,53.39,124,128,,
22,VO,17,1,0.47758039832115173,49.858,124,128,,
22,VO,18,1,0.500552237033844,49.475,123,128,,
22,VO,19,1,0.4499753713607788,55.238,124,128,,
22,VO,20,1,0.49733608961105347,44.72,123,128,,
22,VO,21,1,0.48558515310287476,50.628,123,128,,
22,VO,22,1,0.49915122985839844,48.307,123,128,,
22,VO,23,1,0.5537863969802856,38.911,123,128,,
22,VO,24,1,0.5121893882751465,48.705,123,128,,
22,VO,25,1,0.5066975355148315,47.796,123,128,,
22,VO,26,1,0.5188199281692505,50.188,123,128,,
22,VO,27,1,0.524402916431427,44.82,123,128,,
22,VO,28,1,0.49372026324272156,49.396,123,128,,
22,VO,29,1,0.5415197610855103,37.099,123,128,,
22,VO,30,1,0.4925452172756195,49.925,123,128,,
22,VO,31,1,0.5374826788902283,44.989,123,128,,
23,G,0,0,2.9603092670440674,5.393,121,128,5.743330e-03,
23,G,1,0,3.6539533138275146,3.961,123,128,6.084922e-03,
23,G,2,0,3.2630786895751953,5.627,122,128,6.487513e-03,
23,G,3,0,3.063342571258545,5.298,121,128,5.885528e-03,
23,G,4,0,3.718074083328247,3.827,124,128,6.080100e-03,
23,G,5,0,3.1764323711395264,6.01,124,128,6.541733e-03,
23,G,6,0,2.754197120666504,5.076,124,128,5.199257e-03,
23,G,7,0,3.1093480587005615,5.574,117,127,6.121560e-03,
23,G,8,0,2.8420214653015137,6.562,121,128,6.093507e-03,
23,G,9,0,3.2100417613983154,4.29,122,128,5.559288e-03,
23,G,10,0,3.0594475269317627,10.019,125,128,8.144279e-03,
23,G,11,0,2.0931549072265625,3.763,121,128,3.396543e-03,
23,G,12,0,3.4598777294158936,4.845,124,128,6.380894e-03,
23,G,13,0,3.6797070503234863,2.951,120,127,5.246492e-03,
23,G,14,0,3.026937961578369,5.741,120,128,6.051345e-03,
23,G,15,0,3.8286359310150146,3.237,118,127,5.725548e-03,
23,G,16,1,3.78759503364563,6.922,124,128,8.410681e-03,
23,G,17,1,3.485419750213623,3.637,116,127,5.504505e-03,
23,G,18,1,3.300248384475708,4.084,118,127,5.558872e-03,
23,G,19,1,3.53535795211792,3.197,117,127,5.246794e-03,
23,G,20,1,3.9261460304260254,3.14,119,127,5.773135e-03,
23,G,21,1,3.5250048637390137,8.797,124,128,8.761605e-03,
23,G,22,1,3.5984785556793213,3.537,121,128,5.613117e-03,
23,G,23,1,3.9439258575439453,2.853,117,127,5.505340e-03,
23,G,24,1,3.401228666305542,3.584,117,127,5.333361e-03,
23,G,25,1,3.9445199966430664,7.611,125,128,9.121923e-03,
23,G,26,1,3.912217617034912,2.768,117,127,5.401923e-03,
