layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
1,O,23,5,3.1356019973754883,32.859,125,128,2.482327e-02,
1,O,24,6,4.745957851409912,13.702,122,127,2.426231e-02,
1,O,25,6,3.872845411300659,22.305,122,127,2.526042e-02,
1,O,26,6,2.6357691287994385,48.684,123,128,2.539870e-02,
1,O,27,6,2.8576548099517822,37.249,124,128,2.408687e-02,
1,O,28,7,3.3945839405059814,17.293,124,128,1.949530e-02,
1,O,29,7,2.3354735374450684,49.025,123,127,2.258356e-02,
1,O,30,7,2.919066905975342,48.01,122,127,2.793312e-02,
1,O,31,7,3.6193125247955322,17.153,124,128,2.070178e-02,
1,VO,0,0,0.14088593423366547,41.832,125,128,,
1,VO,1,0,0.13638810813426971,51.002,125,128,,
1,VO,2,0,0.14943845570087433,45.575,125,128,,
1,VO,3,0,0.13456463813781738,51.03,125,128,,
1,VO,4,1,0.1849447339773178,20.75,121,127,,
1,VO,5,1,0.18524271249771118,18.43,122,127,,
1,VO,6,1,0.16670818626880646,24.231,122,127,,
1,VO,7,1,0.14368203282356262,29.338,122,127,,
1,VO,8,2,0.1528007537126541,37.531,124,127,,
1,VO,9,2,0.15605977177619934,35.817,122,127,,
1,VO,10,2,0.17548377811908722,25.431,121,127,,
1,VO,11,2,0.17151489853858948,28.903,122,127,,
1,VO,12,3,0.13726182281970978,58.483,123,128,,
1,VO,13,3,0.14130359888076782,60.116,124,128,,
1,VO,14,3,0.14233645796775818,47.838,124,128,,
1,VO,15,3,0.1393831968307495,65.058,123,127,,
1,VO,16,4,0.159489706158638,19.482,121,127,,
1,VO,17,4,0.20913764834403992,13.254,120,126,,
1,VO,18,4,0.17285652458667755,18.813,120,127,,
1,VO,19,4,0.1900031864643097,15.633,121,127,,
1,VO,20,5,0.16670972108840942,20.188,123,128,,
1,VO,21,5,0.1383768767118454,30.211,123,128,,
1,VO,22,5,0.15486085414886475,26.97,123,128,,
1,VO,23,5,0.1457107812166214,28.305,123,128,,
1,VO,24,6,0.47459810972213745,4.393,114,126,,
1,VO,25,6,0.38551923632621765,6.67,114,126,,
1,VO,26,6,0.22197124361991882,16.136,119,127,,
1,VO,27,6,0.2613898813724518,10.815,120,127,,
1,VO,28,7,0.19117958843708038,9.499,120,126,,
1,VO,29,7,0.10688121616840363,34.752,120,127,,
1,VO,30,7,0.1258319765329361,38.19,120,126,,
1,VO,31,7,0.2034919112920761,9.178,121,126,,
2,Q,0,0,0.2205517590045929,13.118,122,128,2.524463e-02,
2,Q,1,0,0.19062428176403046,17.828,123,128,2.547657e-02,
2,Q,2,0,0.16764524579048157,22.838,122,128,2.547138e-02,
2,Q,3,0,0.1695108413696289,19.293,122,126,2.395755e-02,
2,Q,4,1,0.25440239906311035,10.51,118,126,2.397426e-02,
2,Q,5,1,0.19377116858959198,18.75,120,127,2.611433e-02,
2,Q,6,1,0.19252623617649078,17.588,117,126,2.542426e-02,
2,Q,7,1,0.17429843544960022,22.036,118,127,2.682324e-02,
2,Q,8,2,0.1819465458393097,18.218,122,127,2.515514e-02,
2,Q,9,2,0.17374634742736816,19.79,123,128,2.474848e-02,
2,Q,10,2,0.19862684607505798,14.068,123,128,2.441883e-02,
2,Q,11,2,0.2144123613834381,14.167,122,127,2.421826e-02,
2,Q,12,3,0.18109948933124542,19.974,123,128,2.582051e-02,
2,Q,13,3,0.1793450117111206,21.473,122,128,2.689347e-02,
2,Q,14,3,0.18927447497844696,17.72,121,127,2.545628e-02,
2,Q,15,3,0.18727657198905945,16.587,122,127,2.446659e-02,
2,Q,16,4,0.18699462711811066,16.483,123,128,2.372436e-02,
2,Q,17,4,0.1701127141714096,17.793,122,126,2.293310e-02,
2,Q,18,4,0.17537730932235718,17.892,121,126,2.371622e-02,
2,Q,19,4,0.21461281180381775,14.041,123,128,2.569738e-02,
2,Q,20,5,0.15556344389915466,26.769,124,128,2.685051e-02,
2,Q,21,5,0.2139509916305542,13.187,122,128,2.575562e-02,
2,Q,22,5,0.18654513359069824,19.89,123,128,2.709542e-02,
2,Q,23,5,0.17028596997261047,22.926,124,128,2.653019e-02,
2,Q,24,6,0.16878433525562286,20.729,123,128,2.520836e-02,
2,Q,25,6,0.18246403336524963,19.409,123,128,2.616231e-02,
2,Q,26,6,0.23427441716194153,12.627,122,127,2.558970e-02,
2,Q,27,6,0.17214228212833405,21.201,124,128,2.594098e-02,
2,Q,28,7,0.2647063136100769,12.202,121,127,2.448265e-02,
2,Q,29,7,0.21522612869739532,10.705,118,125,2.082794e-02,
2,Q,30,7,0.22345352172851562,9.221,119,125,2.007712e-02,
2,Q,31,7,0.2553861737251282,8.409,123,128,2.340077e-02,
2,K,0,0,0.1730984002351761,22.743,123,128,2.705555e-02,
2,K,1,1,0.19803817570209503,17.373,122,128,2.656016e-02,
2,K,2,2,0.24401184916496277,11.847,123,128,2.671516e-02,
2,K,3,3,0.2362818568944931,12.448,123,128,2.689253e-02,
2,K,4,4,0.20261672139167786,16.271,123,128,2.627604e-02,
2,K,5,5,0.1457362025976181,31.207,124,128,2.744005e-02,
2,K,6,6,0.19839678704738617,17.173,125,128,2.725850e-02,
2,K,7,7,0.2201279103755951,21.164,118,127,2.317973e-02,
2,V,0,0,0.11428026109933853,51.365,126,128,2.771184e-02,
2,V,1,1,0.10237718373537064,58.443,126,128,2.578371e-02,
2,V,2,2,0.10941676795482635,66.474,126,128,3.012124e-02,
2,V,3,3,0.11584483832120895,51.449,126,128,2.745026e-02,
2,V,4,4,0.1288832426071167,39.159,126,128,2.701028e-02,
2,V,5,5,0.10936227440834045,67.118,126,128,3.048856e-02,
2,V,6,6,0.09711726754903793,67.19,126,128,2.655925e-02,
2,V,7,7,0.11343304812908173,46.391,124,128,2.487537e-02,
2,O,0,0,3.230739116668701,32.831,125,128,2.556539e-02,
2,O,1,0,2.9854977130889893,40.664,125,128,2.629251e-02,
2,O,2,0,2.917292833328247,42.888,125,128,2.638494e-02,
2,O,3,0,3.147324562072754,34.731,125,128,2.561590e-02,
2,O,4,1,2.999277114868164,35.213,124,128,2.457998e-02,
2,O,5,1,3.262265920639038,29.233,125,128,2.435947e-02,
2,O,6,1,3.0117545127868652,33.527,125,128,2.408386e-02,
2,O,7,1,2.870832920074463,43.109,124,128,2.603173e-02,
2,O,8,2,2.7215003967285156,52.698,126,128,2.728461e-02,
